handle,rating,maxRating,regTime,schedules,two pointers,constructive algorithms,geometry,matrices,sortings,math,ternary search,graph matchings,data structures,trees,strings,bitmasks,graphs,greedy,hashing,meet-in-the-middle,implementation,binary search,chinese remainder theorem,divide and conquer,flows,probabilities,dp,2-sat,expression parsing,string suffix structures,dsu,fft,dfs and similar,brute force,games,interactive,combinatorics,number theory,shortest paths,all,pupil,spe,exp,cm,m,im,gm,igm
PEIMUDA,2989,2989,1611881894,0,12,39,16,6,21,74,1,2,65,44,17,31,41,56,14,1,24,26,0,23,8,22,119,2,1,3,22,1,35,44,6,9,42,17,15,611.0,367.5671990740741,390.38317129629627,415.4421990740741,632.3796990740741,700.5671990740741,876.5463657407407,905.5671990740741,911.5671990740741
xuanxuan001,2988,2988,1580653598,0,47,133,18,20,57,215,5,9,202,115,37,73,105,199,30,5,92,94,2,46,12,26,258,3,1,12,45,14,95,124,23,22,109,57,32,1087.0,546.0058101851852,546.0058101851852,546.0058101851852,560.0058101851852,691.0058101851852,978.0058101851852,978.0058101851852,1392.0162268518518
SSRS_,2984,3181,1580878375,1,86,245,39,25,118,334,13,19,300,167,63,112,194,297,41,11,158,164,6,70,28,46,376,11,1,13,93,24,186,199,28,46,155,98,56,3079.0,8.404224537037036,8.404224537037036,8.404224537037036,28.404224537037038,58.40422453703704,134.4111689814815,134.4111689814815,193.40422453703704
Swistakk,2984,3105,1337000538,1,37,113,44,20,53,169,5,13,136,82,25,61,115,139,20,5,73,65,4,37,16,35,182,5,0,5,38,13,101,89,19,21,67,48,24,1934.0,109.10256944444444,109.10256944444444,109.10256944444444,216.10256944444444,275.10256944444444,608.1025694444445,943.1442361111111,1164.0400694444445
Maksim1744,2980,3376,1523267221,1,58,192,39,14,81,224,7,18,239,125,44,62,141,216,24,4,116,128,4,48,21,39,258,6,0,12,50,24,121,123,19,45,103,62,39,2238.0,1.199988425925926,1.199988425925926,1.199988425925926,48.210405092592595,288.19998842592594,418.19998842592594,467.24165509259257,558.9708217592593
lumibons,2976,3151,1508571684,1,16,47,16,5,25,52,1,5,68,31,8,17,48,53,5,1,23,29,1,7,6,7,47,2,0,1,14,1,35,27,4,12,18,12,12,841.0,27.287222222222223,27.287222222222223,27.287222222222223,42.26638888888889,69.33236111111111,428.24555555555554,441.37055555555554,532.1622222222222
Subconscious,2974,3131,1414371896,0,7,44,10,1,18,54,1,2,38,33,9,12,38,48,4,1,25,23,1,9,2,10,59,1,0,2,12,3,29,25,3,10,24,14,11,1067.0,290.6424074074074,290.6424074074074,497.34726851851855,1058.5833796296297,1206.4583796296297,1308.572962962963,1452.6458796296297,1530.5694907407408
errorgorn,2974,2974,1558125389,1,66,204,31,17,87,245,10,12,257,128,38,84,153,238,28,7,112,122,4,58,10,39,276,5,1,8,57,19,139,126,18,53,95,68,41,1886.0,14.748969907407407,14.748969907407407,14.748969907407407,85.66563657407407,151.7489699074074,397.75591435185186,413.75591435185186,561.4364699074074
-Eternity-,2971,2971,1582506202,0,1,14,0,4,6,27,1,0,13,7,4,6,4,15,5,1,12,7,0,2,0,3,20,0,0,2,1,3,9,17,2,4,11,7,0,120.0,201.52891203703703,208.56363425925926,208.56363425925926,243.54280092592592,271.56363425925923,547.5636342592593,1370.574050925926,1398.5636342592593
yuto1115,2971,3051,1583376001,0,25,99,11,8,45,137,4,7,92,69,18,39,69,123,15,2,61,46,1,22,3,25,137,2,0,3,28,4,67,82,8,16,57,29,16,875.0,2.2881828703703704,2.2881828703703704,38.47568287037037,72.3715162037037,94.4965162037037,242.4965162037037,289.28818287037035,507.4965162037037
244mhq,2968,3278,1413382830,1,97,293,57,40,124,477,9,38,404,227,70,168,252,335,50,10,198,211,7,119,48,87,548,11,1,18,95,45,213,259,37,76,243,142,52,5445.0,1056.940625,1056.940625,1070.0309027777778,1135.0309027777778,1242.051736111111,1354.989236111111,1383.7461805555556,1523.0100694444445
yosupo,2964,3369,1371893241,0,21,114,22,16,41,155,3,12,139,72,22,50,115,127,14,4,59,74,2,32,18,30,171,5,1,5,29,9,69,77,11,28,63,43,24,1482.0,21.314340277777777,21.314340277777777,21.314340277777777,226.25878472222223,304.1192013888889,760.1893402777778,900.2761458333333,1097.2969791666667
lych_cys,2963,2963,1423295985,0,0,12,2,3,6,20,1,1,23,14,9,8,15,15,1,0,7,7,0,2,4,4,30,0,0,3,2,3,7,3,2,5,10,7,5,253.0,569.1703125,569.1703125,569.1703125,601.2536458333333,601.2536458333333,937.2328125,1066.2814236111112,1287.2744791666667
noimi,2962,3353,1525099283,2,91,250,60,32,120,361,11,28,334,186,71,122,204,327,40,12,155,166,4,75,27,65,453,9,1,15,74,26,206,208,31,49,168,101,52,3389.0,-0.0009606481481481482,-0.0009606481481481482,29.037233796296295,47.07890046296296,206.04417824074073,567.9955671296296,583.9955671296296,859.9955671296296
He_Ren,2950,3020,1548939564,1,73,161,38,17,86,221,10,21,284,122,53,88,158,228,36,9,118,108,5,51,31,37,291,5,1,23,59,19,125,143,18,35,97,67,47,2111.0,194.0663888888889,194.0663888888889,194.0663888888889,266.08722222222224,435.06638888888887,608.0663888888889,618.0768055555556,913.0663888888889
137_345_2814,2949,2949,1533858376,0,10,24,14,5,14,48,1,0,76,44,10,19,42,28,5,1,12,20,0,19,10,14,64,3,1,5,16,12,34,17,3,5,19,18,13,410.0,106.32550925925926,106.32550925925926,106.32550925925926,142.61717592592592,793.3880092592592,793.3880092592592,1129.617175925926,1147.4366203703703
MagicalFlower,2948,3069,1544928744,0,24,80,20,12,38,116,1,13,139,71,29,55,88,117,15,2,53,49,2,40,16,24,158,5,0,9,35,7,65,67,10,18,65,36,18,1098.0,7.44625,7.44625,240.48791666666668,320.48791666666665,444.48791666666665,775.4879166666667,1109.5295833333332,1399.4879166666667
HIR180,2946,3102,1347810891,1,43,142,32,17,58,224,3,18,203,131,34,69,133,179,26,6,79,82,4,40,20,48,266,4,1,11,43,12,117,109,21,23,107,60,34,2052.0,2.9931597222222224,2.9931597222222224,82.75357638888889,217.98621527777777,634.9827430555556,693.0452430555556,1734.944548611111,2212.048715277778
Chtholly-Nota-Seniorious,2945,2945,1625481378,0,3,12,2,0,4,20,1,2,15,10,2,5,11,13,0,3,10,7,0,3,3,3,21,0,0,0,5,3,11,8,1,2,9,5,3,238.0,110.97826388888889,110.97826388888889,110.97826388888889,210.16576388888888,210.16576388888888,262.1657638888889,318.1657638888889,489.1657638888889
StarSilk,2945,3132,1657328143,1,106,266,33,25,126,402,8,23,352,190,56,143,225,366,42,8,207,185,7,78,24,58,462,13,1,14,90,17,213,264,37,56,192,119,54,3233.0,22.548113425925926,35.56894675925926,35.56894675925926,55.56894675925926,83.56894675925926,211.4647800925926,211.4647800925926,385.56894675925923
froggyzhang,2940,2940,1551604197,0,96,270,58,37,137,389,7,35,452,225,79,144,264,337,47,14,179,174,5,111,49,65,496,14,1,32,77,51,208,208,37,78,176,123,68,2453.0,161.14239583333332,161.14239583333332,161.14239583333332,287.00350694444444,343.20489583333335,577.2257291666666,594.1632291666666,749.1736458333334
Dmitriy.Belichenko,2937,2969,1468158332,0,10,36,6,5,15,71,2,2,42,27,10,17,27,37,5,5,9,23,1,4,3,12,63,0,0,1,11,6,25,14,3,11,21,30,6,1049.0,40.97185185185185,40.97185185185185,167.8051851851852,544.0343518518519,676.1176851851852,721.0135185185185,1056.0343518518519,1170.0135185185186
cat_of_Nesraychan,2933,2933,1626571413,0,19,69,8,7,31,116,1,4,87,48,16,28,53,97,11,5,42,41,0,21,4,18,117,2,0,3,22,7,47,62,10,11,50,18,16,478.0,22.549618055555555,28.549618055555555,28.549618055555555,39.549618055555555,578.5496180555556,578.5496180555556,589.5496180555556,784.5287847222222
tmwilliamlin168,2931,2931,1496834555,0,37,107,21,14,66,145,7,11,199,104,43,58,120,129,22,3,86,90,3,40,16,36,221,4,0,10,41,9,102,79,16,32,72,53,27,1673.0,47.13362268518519,47.13362268518519,47.13362268518519,66.13362268518519,276.17528935185186,354.14403935185186,354.14403935185186,493.9461226851852
Alex_Wei,2926,2998,1557753072,0,68,156,20,21,81,270,5,20,306,156,61,110,136,220,36,7,115,142,4,80,22,44,318,2,0,40,66,19,133,159,19,43,131,74,33,2449.0,68.09986111111111,68.09986111111111,68.09986111111111,89.97486111111111,156.05819444444444,331.05819444444444,506.05819444444444,930.0581944444444
qiuzx,2924,2957,1546245337,0,57,147,41,28,88,283,7,23,313,164,57,108,179,225,48,12,138,126,3,72,64,55,398,6,3,23,61,35,128,165,31,29,123,70,41,1938.0,96.12457175925925,54.072488425925926,348.85373842592594,466.24957175925925,576.2495717592593,1089.2495717592592,1139.2495717592592,1369.2495717592592
Anadi,2923,2957,1418630124,0,14,80,12,6,27,94,1,14,86,55,16,23,78,90,9,1,44,45,0,16,19,21,98,3,0,2,14,5,58,33,4,21,36,32,19,2748.0,49.35736111111111,49.35736111111111,49.35736111111111,527.2983333333333,642.2427777777777,991.2358333333333,994.2775,1476.2775
JoeyWheeler,2923,3109,1345271544,0,18,36,14,9,23,62,3,7,88,45,21,21,48,47,13,2,29,34,1,18,10,15,103,2,1,8,20,1,49,31,5,3,23,29,11,819.0,0.02263888888888889,0.02263888888888889,0.02263888888888889,792.1025,797.4358333333333,858.415,864.3525,1153.415
huangzirui,2923,2923,1537448879,0,10,25,3,2,18,37,2,2,49,23,11,11,26,41,6,1,22,23,1,12,4,6,43,0,0,2,10,5,17,27,3,4,18,10,5,446.0,101.06042824074073,101.06042824074073,155.8833449074074,642.0395949074074,741.0604282407407,1105.879872685185,1105.879872685185,1374.0604282407407
gtrhetr,2920,2920,1539259584,0,7,26,6,10,15,55,0,7,68,40,15,23,37,36,6,0,23,16,1,16,10,13,86,3,0,2,12,5,25,18,5,7,23,17,7,484.0,0.11361111111111111,0.11361111111111111,0.11361111111111111,119.06152777777778,122.08236111111111,176.97819444444445,176.97819444444445,408.8323611111111
jiry_2,2920,2920,1383352212,0,10,21,14,5,8,49,2,1,53,23,9,10,35,26,5,0,27,14,2,8,9,14,71,0,0,5,7,2,28,26,6,2,16,21,14,567.0,155.63180555555556,155.63180555555556,155.63180555555556,211.52069444444444,297.5623611111111,627.5623611111112,683.6144444444444,846.6977777777778
Karuna,2917,2957,1527589293,0,13,40,7,2,12,54,1,4,54,30,6,15,29,49,8,2,27,21,5,14,4,12,59,1,0,1,13,6,24,31,2,8,32,10,3,1009.0,13.134340277777778,114.1829513888889,312.05100694444445,419.17600694444445,533.1760069444445,600.1343402777778,1160.1760069444445,1613.9503125
Errichto,2916,3053,1369775813,0,21,75,35,8,43,101,4,7,108,52,18,40,83,94,11,3,60,63,1,19,6,26,136,1,0,5,30,6,60,68,9,17,44,24,17,1464.0,1.7591087962962964,1.7591087962962964,1.7591087962962964,181.7591087962963,215.7591087962963,438.8216087962963,593.488275462963,990.8459143518519
hitonanode,2914,3182,1554005237,1,69,190,37,23,99,285,8,19,267,139,52,104,166,267,38,6,143,134,1,68,24,50,310,9,0,10,67,23,143,159,21,39,128,69,47,1990.0,62.43591435185185,62.43591435185185,62.43591435185185,62.43591435185185,62.43591435185185,68.33174768518519,68.33174768518519,261.4567476851852
PinkRabbitAFO,2913,2913,1470549534,0,23,77,21,13,41,122,1,7,148,82,29,45,97,99,12,3,54,68,2,35,13,25,144,4,1,9,32,13,75,45,8,16,47,46,22,1218.0,0.3375694444444444,0.3375694444444444,413.35840277777777,467.35840277777777,646.3653472222222,1028.3584027777779,1028.3584027777779,1231.2125694444444
Endagorion,2911,3313,1268804014,2,39,153,46,29,73,256,3,18,225,129,39,76,143,197,20,7,100,92,1,53,19,54,310,7,2,6,49,20,118,101,25,28,110,70,34,1789.0,25.226689814814815,25.226689814814815,25.226689814814815,303.1016898148148,608.0253009259259,666.3968287037037,751.3933564814815,1502.4141898148148
shiomusubi496,2909,2909,1594714078,0,6,21,2,3,13,43,1,0,28,21,10,10,19,34,8,0,20,10,1,8,4,3,35,1,0,3,12,4,15,20,0,4,16,5,1,338.0,26.26877314814815,47.26877314814815,54.26877314814815,158.06043981481483,199.26877314814814,644.2687731481482,711.2687731481482,1181.0396064814815
TankEngineer,2904,2934,1334647391,2,10,41,27,8,25,51,2,8,73,34,14,25,38,62,14,3,44,30,0,14,10,13,108,2,3,4,18,1,43,29,9,0,25,16,13,1336.0,17.33806712962963,17.33806712962963,17.33806712962963,136.33806712962962,160.33806712962962,486.35890046296294,605.2755671296296,894.3415393518519
hank55663,2904,3064,1395746326,1,103,330,62,32,172,436,16,31,438,256,99,153,296,421,61,15,233,216,7,86,44,64,534,11,0,27,96,27,257,283,32,76,187,135,78,5141.0,179.07030092592592,179.07030092592592,308.21613425925926,329.2196064814815,1180.1362731481481,1223.1362731481481,1484.1154398148149,1900.0321064814814
oleh1421,2903,2996,1542572070,0,64,173,21,16,89,232,6,11,222,119,35,98,137,234,28,8,109,93,4,57,7,25,266,6,0,7,57,23,141,145,17,38,114,69,35,2235.0,6.847569444444445,6.847569444444445,80.72256944444445,240.7642361111111,300.59756944444445,513.7642361111111,563.7642361111111,681.7642361111111
krijgertje,2900,3001,1275305779,1,134,393,125,62,203,583,18,48,704,364,154,200,430,512,92,24,282,307,10,139,75,96,764,21,4,53,126,63,355,313,58,92,245,196,109,5261.0,3.0581134259259257,3.0581134259259257,3.0581134259259257,140.93311342592594,2428.276863425926,2462.8532523148147,2488.1449189814816,2574.124085648148
neal,2900,3147,1276148667,0,94,241,51,29,128,350,9,31,367,202,80,119,221,339,53,8,187,179,5,91,35,51,439,12,1,25,79,29,211,232,37,74,135,106,53,2860.0,201.42746527777777,201.42746527777777,201.42746527777777,268.4274652777778,330.3857986111111,344.3857986111111,362.3857986111111,3062.4101041666668
xcyle,2900,2900,1609501911,1,41,161,22,14,57,223,2,19,193,113,35,73,127,182,18,5,84,74,3,48,16,32,237,4,0,11,44,24,103,94,24,37,108,58,24,1128.0,37.11329861111111,42.12371527777778,42.12371527777778,147.0924652777778,197.1132986111111,235.1132986111111,357.11329861111113,637.1132986111111
A-SOUL_Bella,2896,3008,1633271543,0,8,31,5,1,11,41,1,3,26,17,1,7,22,43,3,2,18,21,0,6,3,8,40,0,0,0,8,1,21,25,7,5,13,12,11,501.0,56.00181712962963,56.00181712962963,56.00181712962963,56.00181712962963,56.00181712962963,82.00181712962963,82.00181712962963,116.00181712962963
jeroenodb,2894,2999,1589797475,0,81,229,82,27,113,324,10,26,365,209,67,123,236,270,51,9,160,165,4,88,47,55,392,9,1,23,87,30,189,205,33,54,132,93,60,2706.0,73.17390046296296,73.17390046296296,90.17390046296296,139.23640046296296,320.173900462963,371.173900462963,701.1739004629629,804.1530671296297
le0n,2892,2905,1578806144,0,22,60,3,12,24,129,1,6,89,59,19,29,51,85,13,2,50,40,0,24,11,17,113,1,0,8,24,18,43,49,10,8,59,25,18,635.0,680.1800462962963,746.3883796296296,750.3883796296296,992.3883796296296,1069.3883796296295,1120.284212962963,1326.3883796296295,1345.3883796296295
dl720125,2888,2944,1548086618,1,10,45,2,2,14,64,1,4,45,29,11,17,28,51,7,0,35,20,0,8,2,10,57,0,0,2,11,5,26,39,7,6,25,16,9,354.0,1.938449074074074,1.938449074074074,1.938449074074074,412.9384490740741,426.9384490740741,922.9384490740741,950.9384490740741,1157.938449074074
A_G,2887,3279,1629651582,1,95,291,40,36,120,449,9,26,354,210,57,138,209,357,41,16,191,177,5,99,29,57,448,11,0,15,91,42,208,230,42,81,187,125,47,2961.0,6.8995138888888885,20.89951388888889,20.89951388888889,55.753680555555555,55.753680555555555,152.8995138888889,157.8995138888889,276.02451388888886
jcvb,2884,3203,1314148368,0,15,48,23,9,23,77,2,8,87,40,23,25,56,58,13,2,35,33,1,25,8,16,107,5,1,11,23,6,55,44,9,3,31,27,17,887.0,537.5952777777778,537.5952777777778,537.5952777777778,1060.4911111111112,1098.5327777777777,1224.5744444444445,1237.3244444444445,1319.6404166666666
femboy-wannabe,2883,2892,1697737974,0,6,12,3,2,8,24,1,0,27,13,4,9,18,26,3,0,12,14,0,7,1,0,28,1,0,2,9,0,19,21,2,3,12,8,6,230.0,2.716736111111111,14.862569444444444,14.862569444444444,36.87298611111111,36.87298611111111,36.87298611111111,36.87298611111111,64.86256944444445
Cyanic,2880,2880,1515886672,0,9,54,20,17,20,99,0,4,88,55,26,35,63,60,10,1,22,31,2,19,10,16,127,5,3,12,23,13,47,23,7,9,30,29,10,775.0,17.56050925925926,17.56050925925926,17.56050925925926,41.41467592592593,133.63342592592593,217.5813425925926,389.5813425925926,749.602175925926
Adam_GS,2876,2896,1585479554,1,33,90,14,5,43,116,3,6,125,64,23,41,70,123,13,5,68,60,1,34,9,17,132,4,1,3,32,4,77,98,6,25,37,37,23,1922.0,266.1706712962963,276.149837962963,276.149837962963,320.1602546296296,490.149837962963,640.1915046296297,809.1498379629629,1182.1290046296297
stepanov.aa,2869,2869,1570250243,0,6,39,3,2,11,40,3,3,32,20,9,11,20,36,6,0,23,15,0,12,3,8,52,1,0,2,4,8,11,26,4,10,17,7,4,329.0,50.14417824074074,50.14417824074074,442.4358449074074,533.2379282407408,771.0608449074074,963.5400115740741,1128.415011574074,1554.415011574074
bashkort,2868,2887,1585285720,0,40,119,14,13,57,188,3,9,192,105,30,76,94,166,23,7,78,91,1,53,12,26,204,3,0,6,43,11,101,113,10,33,78,41,20,1646.0,17.393287037037037,17.393287037037037,359.3412037037037,392.39328703703706,637.393287037037,783.393287037037,995.393287037037,1338.4037037037037
Amoo_Safar,2867,2982,1521663366,0,33,100,18,12,61,133,6,9,130,76,22,52,98,123,20,6,62,60,2,36,8,21,170,3,0,3,30,7,74,61,11,24,58,33,26,1965.0,0.4089583333333333,0.4089583333333333,1.8464583333333333,169.763125,288.77006944444446,394.9089583333333,436.763125,594.7839583333333
JCY_,2867,2867,1563515451,0,18,47,9,8,25,102,0,2,116,71,26,31,64,82,16,5,32,39,2,25,21,18,130,1,0,15,17,9,46,40,7,11,70,30,14,465.0,1260.3639930555555,1436.3431597222223,1478.3639930555555,1478.3639930555555,1488.3639930555555,1503.3639930555555,1503.3639930555555,1542.134826388889
The_Noble_Brahman_Bison,2866,2866,1581383628,0,4,8,2,1,8,17,0,2,9,10,1,8,12,13,0,0,6,4,0,1,0,4,15,0,0,0,5,1,11,9,4,0,5,2,3,92.0,44.55638888888889,44.55638888888889,44.55638888888889,201.55638888888888,232.55638888888888,682.5563888888889,682.5563888888889,1229.5355555555554
ivan100sic,2865,2865,1314564918,1,147,396,114,63,219,646,21,40,654,343,149,230,412,533,97,24,343,317,10,135,69,103,818,17,2,49,142,50,362,389,60,100,270,252,99,7267.0,0.7949305555555556,0.7949305555555556,288.66993055555554,384.7740972222222,804.8365972222222,2187.819236111111,2218.735902777778,3004.735902777778
user202729_,2863,2863,1457450897,0,33,153,35,18,52,172,4,12,177,94,26,56,119,138,22,4,66,85,1,35,10,39,179,5,0,8,37,10,92,80,21,46,67,45,24,1576.0,444.75466435185183,444.75466435185183,455.865775462963,541.9213310185186,670.9699421296297,1264.9629976851852,1293.942164351852,1350.9629976851852
dog_of_Nesraychan,2859,2902,1676202244,0,8,8,0,4,9,18,1,0,23,7,4,7,7,23,4,0,13,11,0,7,1,3,20,0,0,0,6,0,11,19,0,1,8,3,3,115.0,67.1187037037037,67.1187037037037,112.12564814814814,112.12564814814814,144.11870370370372,144.11870370370372,230.11870370370372,286.12912037037034
ymmparsa,2859,2859,1573224487,0,40,108,17,15,49,154,9,14,205,113,40,59,119,119,22,4,72,77,3,50,23,29,196,8,3,21,53,29,109,84,18,20,85,56,28,1531.0,20.990891203703704,20.990891203703704,62.97005787037037,121.9908912037037,135.9908912037037,417.9908912037037,498.9388078703704,1276.886724537037
Crystally,2855,3035,1550567228,0,54,204,45,34,79,310,6,20,280,172,57,103,183,232,28,8,92,114,5,75,42,52,375,7,1,28,56,40,133,126,32,47,136,92,33,1415.0,148.22768518518518,148.22768518518518,329.2276851851852,978.0401851851852,1058.1235185185185,1539.1235185185185,1653.2276851851852,1664.2068518518518
Little09,2852,2852,1608041133,0,5,12,2,2,7,27,1,0,19,9,5,9,12,18,2,1,7,9,0,2,1,5,25,1,0,0,8,1,13,13,2,1,10,6,4,123.0,63.02045138888889,109.02045138888889,109.02045138888889,122.02045138888889,122.02045138888889,219.0204513888889,374.0204513888889,988.0204513888889
Alan233,2851,2851,1609856804,0,22,84,15,4,32,114,2,10,111,53,13,41,64,96,17,6,39,41,1,28,13,20,122,4,0,5,23,16,58,61,13,20,60,37,17,811.0,216.00574074074075,216.00574074074075,222.00574074074075,222.00574074074075,233.00574074074075,292.67240740740743,292.67240740740743,298.00574074074075
PCTprobability,2850,2883,1595149300,0,14,34,7,8,17,81,3,3,37,26,10,18,26,41,5,0,24,17,0,4,2,16,66,0,0,2,14,7,24,29,5,7,40,19,3,523.0,121.23148148148148,125.23148148148148,128.2314814814815,173.2314814814815,173.2314814814815,363.23148148148147,363.23148148148147,832.0057870370371
ch_egor,2848,2848,1413657999,0,1,11,3,7,7,18,2,2,32,12,12,9,18,18,10,0,19,14,0,4,4,7,32,1,0,3,7,1,14,11,4,3,4,2,3,603.0,189.88427083333335,189.88427083333335,189.88427083333335,397.9085763888889,639.7627430555556,996.9155208333333,1140.8044097222223,1316.8356597222223
Morphymorphymorphy,2846,2848,1687516560,0,6,26,5,4,12,54,2,1,32,22,6,15,17,40,7,0,24,16,0,5,2,9,46,1,0,1,5,2,16,33,3,6,14,7,4,261.0,18.165972222222223,18.165972222222223,18.165972222222223,18.165972222222223,18.165972222222223,18.165972222222223,30.165972222222223,68.16597222222222
GroupMatrix,2845,2845,1647417818,0,3,6,0,0,4,16,3,0,8,10,2,10,4,7,1,0,7,7,1,9,0,3,23,0,1,1,6,0,8,14,1,2,9,9,3,101.0,300.13289351851853,470.2717824074074,470.2717824074074,487.2717824074074,498.2717824074074,498.2717824074074,528.2717824074074,571.0426157407408
LHiC,2845,3355,1368793356,0,21,89,28,13,42,129,6,11,169,93,40,38,99,109,25,2,58,71,2,36,33,27,173,1,0,17,31,10,77,63,13,14,46,44,18,1455.0,13.130138888888888,13.130138888888888,21.13013888888889,337.7759722222222,586.1718055555556,592.1093055555556,673.0676388888888,709.1509722222222
Marcin_smu,2845,3126,1287902902,0,11,88,22,18,31,99,4,10,100,59,25,28,82,91,17,0,41,45,0,22,10,24,124,1,0,5,23,6,70,37,12,16,41,27,18,1369.0,6.216412037037037,6.216412037037037,6.216412037037037,607.3622453703704,831.3622453703704,993.4247453703704,1056.3622453703704,1636.3830787037036
dreamoon_love_AA,2845,3002,1298451653,3,136,394,89,38,216,566,20,39,535,259,118,202,372,536,72,21,304,286,11,105,55,85,730,16,5,25,128,26,345,350,51,64,239,188,94,7775.0,5.291053240740741,5.291053240740741,5.291053240740741,23.29105324074074,72.24938657407408,246.24938657407407,315.2493865740741,1280.2077199074074
Dominater069,2842,2842,1660061734,0,71,151,19,14,75,274,7,12,265,145,29,96,144,249,23,10,123,143,7,73,13,52,349,7,0,6,68,16,142,178,29,53,124,70,39,2220.0,46.930162037037036,46.930162037037036,139.93016203703704,139.93016203703704,146.93016203703704,242.9371064814815,381.93016203703706,444.93016203703706
