contestId,index,name,tags,rating,solved
1995,A,Diagonals,"['brute force', 'greedy', 'implementation', 'math']",800.0,770
1994,H,Fortnite,"['combinatorics', 'constructive algorithms', 'games', 'greedy', 'hashing', 'interactive', 'math', 'number theory', 'strings']",3500.0,76
1994,G,Minecraft,"['bitmasks', 'brute force', 'dp', 'graphs', 'math']",2600.0,571
1994,F,Stardew Valley,"['constructive algorithms', 'dfs and similar', 'graphs', 'trees']",2500.0,712
1994,E,Wooden Game,"['bitmasks', 'greedy', 'math', 'trees']",2000.0,1247
1994,D,Funny Game,"['constructive algorithms', 'dsu', 'graphs', 'greedy', 'math', 'number theory', 'trees']",1900.0,1297
1994,C,Hungry Games,"['binary search', 'dp', 'two pointers']",1600.0,1325
1994,B,Fun Game,"['bitmasks', 'constructive algorithms', 'greedy', 'math']",1100.0,1330
1994,A,Diverse Game,"['constructive algorithms', 'greedy', 'implementation']",800.0,1337
1993,F2,Dyn-scripted Robot (Hard Version),"['chinese remainder theorem', 'math', 'number theory']",2800.0,213
1993,F1,Dyn-scripted Robot (Easy Version),"['brute force', 'chinese remainder theorem', 'constructive algorithms', 'math', 'number theory']",2400.0,414
1993,E,Xor-Grid Problem,"['bitmasks', 'constructive algorithms', 'dp', 'implementation']",2700.0,246
1993,D,Med-imize,"['binary search', 'dp', 'greedy']",2200.0,693
1993,C,Light Switches,"['implementation', 'math']",1400.0,766
1993,B,Parity and Sum,"['constructive algorithms', 'greedy']",1100.0,806
1993,A,Question Marks,"['greedy', 'implementation']",800.0,810
1992,G,Ultra-Meow,"['combinatorics', 'dp', 'math']",2000.0,509
1992,F,Valuable Cards,"['brute force', 'dp', 'greedy', 'number theory', 'two pointers']",1900.0,479
1992,E,Novice's Mistake,"['brute force', 'constructive algorithms', 'implementation', 'math', 'strings']",1700.0,413
1992,D,Test of Love,"['dp', 'greedy', 'implementation']",1200.0,447
1992,C,Gorilla and Permutation,"['constructive algorithms', 'math']",900.0,446
1992,B,Angry Monk,"['greedy', 'math', 'sortings']",800.0,459
1992,A,Only Pluses,"['brute force', 'constructive algorithms', 'greedy', 'math', 'sortings']",800.0,473
1991,I,Grid Game,"['constructive algorithms', 'games', 'graph matchings', 'greedy', 'interactive']",3500.0,24
1991,H,Prime Split Game,"['bitmasks', 'dp', 'fft', 'games', 'math', 'number theory']",3300.0,112
